"Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type"
"201301BS70003,2,1,1,1,7,2,0,0,0,0,0,1,1"
"201301BS70005,1,1,1,2,6,3,0,0,0,0,0,3,1"
"201301BS70005,1,2,3,2,4,3,1,1,0,0,2,0,1"
"201301BS70006,1,1,2,1,10,3,0,0,0,4,0,11,1"
"201301BS70007,1,1,1,1,7,3,0,0,0,0,0,3,1"
"201301BS70009,1,1,1,1,6,3,0,0,0,0,0,9,1"
"201301BS70010,1,1,3,2,6,3,1,3,0,0,2,0,1"
"201301BS70012,2,1,1,1,7,3,0,0,0,0,0,5,1"
"201301BS70013,1,1,3,2,9,3,1,1,0,0,2,0,1"
"201301BS70015,1,1,3,1,4,3,1,1,0,0,2,0,1"
"201301BS70018,2,1,1,2,6,3,0,0,0,0,0,1,1"
"201301BS70019,1,1,1,1,6,3,0,0,0,0,0,5,1"
"201301BS70020,1,1,1,2,6,3,0,0,0,0,0,1,1"
"201301BS70021,1,1,1,2,7,3,0,0,0,0,0,9,-1"
"201301BS70021,2,2,1,1,-1,3,0,0,0,0,0,19,1"
"201301BS70023,1,1,1,1,6,3,0,0,0,0,0,3,1"
"201301BS70024,1,1,2,1,7,3,0,0,1,0,0,9,1"
"201301BS70025,1,1,1,1,5,3,0,0,0,0,0,5,1"
"201301BS70027,1,1,3,2,3,3,1,1,0,0,2,0,1"
"201301BS70031,1,1,1,1,8,3,0,0,0,0,0,9,1"
"201301BS70031,2,2,1,1,8,3,0,0,0,0,0,9,1"
"201301BS70031,2,3,2,1,8,3,0,0,1,0,0,9,1"
"201301BS70032,1,1,1,1,8,3,0,0,0,0,0,8,1"
"201301BS70033,2,1,1,2,5,3,0,0,0,0,0,1,1"
"201301BS70034,1,1,1,1,9,2,0,0,0,0,0,5,1"
"201301BS70035,1,1,1,1,5,2,0,0,0,0,0,3,-1"
"201301BS70036,1,1,1,1,8,3,0,0,0,0,0,8,-1"
"201301BS70038,1,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70040,1,1,1,2,7,3,0,0,0,0,0,5,-1"
"201301BS70042,1,1,1,1,5,3,0,0,0,0,0,1,1"
"201301BS70043,1,1,1,2,6,3,0,0,0,0,0,1,1"
"201301BS70044,2,1,1,1,8,3,0,0,0,0,0,1,1"
"201301BS70046,1,1,1,1,5,3,0,0,0,0,0,1,1"
"201301BS70047,1,1,3,2,10,3,5,1,0,0,2,0,1"
"201301BS70048,1,1,1,1,7,3,0,0,0,0,0,9,1"
"201301BS70049,1,1,3,1,7,3,5,1,0,0,2,0,1"
"201301BS70050,1,1,1,1,7,3,0,0,0,0,0,3,1"
"201301BS70051,1,1,1,2,7,3,0,0,0,0,0,2,1"
"201301BS70054,2,1,2,1,5,3,0,0,1,0,0,9,1"
"201301BS70055,1,1,3,1,-1,3,1,1,0,0,2,0,1"
"201301BS70056,1,1,1,1,6,3,0,0,0,0,0,3,1"
"201301BS70057,1,1,1,1,6,3,0,0,0,0,0,3,1"
"201301BS70058,1,1,3,2,6,2,5,1,0,0,2,0,1"
"201301BS70059,1,1,3,2,6,2,4,1,0,0,2,0,-1"
"201301BS70060,1,1,3,2,9,3,5,1,0,0,2,0,-1"
"201301BS70061,2,1,1,1,6,3,0,0,0,0,0,3,1"
"201301BS70063,1,1,3,1,11,3,1,1,0,0,2,0,1"
"201301BS70064,1,1,3,2,8,3,4,1,0,0,2,0,1"
