"OA11CD,OAC11CD,OAC11NM,LSOA11CD,LSOA11NM,SOAC11CD,SOAC11NM,MSOA11CD,MSOA11NM,LAD17CD,LAD17NM,LACCD,LACNM,RGN11CD,RGN11NM,CTRY11CD,CTRY11NM,FID"
"E00070834,1a2,Established Farming Communities,E01014030,Herefordshire 009D,2b,Prospering countryside life,E02002913,Herefordshire 009,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11001"
"E00070835,1a2,Established Farming Communities,E01014028,Herefordshire 009B,2a,Ageing rural neighbourhoods,E02002913,Herefordshire 009,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11002"
"E00070837,1a2,Established Farming Communities,E01014027,Herefordshire 009A,2c,Remoter communities,E02002913,Herefordshire 009,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11003"
"E00070907,1a2,Established Farming Communities,E01014044,Herefordshire 002D,2d,Rural traits,E02002906,Herefordshire 002,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11004"
"E00070937,1a2,Established Farming Communities,E01014050,Herefordshire 023D,2c,Remoter communities,E02002927,Herefordshire 023,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11005"
"E00070956,1a2,Established Farming Communities,E01014051,Herefordshire 001B,2c,Remoter communities,E02002905,Herefordshire 001,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11006"
"E00070981,1a2,Established Farming Communities,E01014058,Herefordshire 023G,2c,Remoter communities,E02002927,Herefordshire 023,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11007"
"E00070986,1a2,Established Farming Communities,E01014057,Herefordshire 023F,2d,Rural traits,E02002927,Herefordshire 023,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11008"
"E00070989,1a2,Established Farming Communities,E01014058,Herefordshire 023G,2c,Remoter communities,E02002927,Herefordshire 023,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11009"
"E00070991,1a2,Established Farming Communities,E01014059,Herefordshire 021B,2c,Remoter communities,E02002925,Herefordshire 021,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11010"
"E00071104,1a2,Established Farming Communities,E01014081,Herefordshire 008C,2b,Prospering countryside life,E02002912,Herefordshire 008,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11011"
"E00071105,1a2,Established Farming Communities,E01014081,Herefordshire 008C,2b,Prospering countryside life,E02002912,Herefordshire 008,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11012"
"E00071110,1a2,Established Farming Communities,E01014081,Herefordshire 008C,2b,Prospering countryside life,E02002912,Herefordshire 008,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11013"
"E00071193,1a2,Established Farming Communities,E01014097,Herefordshire 004F,2c,Remoter communities,E02002908,Herefordshire 004,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11014"
"E00071213,1a2,Established Farming Communities,E01014100,Herefordshire 007E,2c,Remoter communities,E02002911,Herefordshire 007,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11015"
"E00168508,1a2,Established Farming Communities,E01013999,Herefordshire 004A,2a,Ageing rural neighbourhoods,E02002908,Herefordshire 004,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11016"
"E00168531,1a2,Established Farming Communities,E01013997,Herefordshire 016B,5b,Aspiring urban households,E02002920,Herefordshire 016,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11017"
"E00070620,5a3,Families in Terraces and Flats,E01013992,Herefordshire 017A,4b,Constrained renters,E02002921,Herefordshire 017,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11018"
"E00070624,5a3,Families in Terraces and Flats,E01013997,Herefordshire 016B,5b,Aspiring urban households,E02002920,Herefordshire 016,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11019"
"E00070626,5a3,Families in Terraces and Flats,E01013996,Herefordshire 016A,5b,Aspiring urban households,E02002920,Herefordshire 016,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11020"
"E00070627,5a3,Families in Terraces and Flats,E01013997,Herefordshire 016B,5b,Aspiring urban households,E02002920,Herefordshire 016,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11021"
"E00070629,5a3,Families in Terraces and Flats,E01013996,Herefordshire 016A,5b,Aspiring urban households,E02002920,Herefordshire 016,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11022"
"E00070722,5a3,Families in Terraces and Flats,E01014011,Herefordshire 012D,4b,Constrained renters,E02002916,Herefordshire 012,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11023"
"E00070830,1c2,Renting Rural Retirement,E01014029,Herefordshire 009C,2a,Ageing rural neighbourhoods,E02002913,Herefordshire 009,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11024"
"E00071074,8a1,Industrious Transitions,E01014077,Herefordshire 013C,5e,Primary sector workers,E02002917,Herefordshire 013,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11025"
"E00168533,1a3,Agricultural Communities,E01014008,Herefordshire 006A,2c,Remoter communities,E02002910,Herefordshire 006,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11026"
"E00071081,8c2,Ageing Rural Industry Workers,E01014078,Herefordshire 013D,5e,Primary sector workers,E02002917,Herefordshire 013,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11027"
"E00070847,1c2,Renting Rural Retirement,E01014031,Herefordshire 023A,2a,Ageing rural neighbourhoods,E02002927,Herefordshire 023,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11028"
"E00071077,8a1,Industrious Transitions,E01014078,Herefordshire 013D,5e,Primary sector workers,E02002917,Herefordshire 013,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11029"
"E00071095,8c2,Ageing Rural Industry Workers,E01014080,Herefordshire 016D,2d,Rural traits,E02002920,Herefordshire 016,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11030"
"E00168534,1a3,Agricultural Communities,E01014013,Herefordshire 007C,2a,Ageing rural neighbourhoods,E02002911,Herefordshire 007,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11031"
"E00070903,1c2,Renting Rural Retirement,E01014043,Herefordshire 002C,2d,Rural traits,E02002906,Herefordshire 002,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11032"
