"Accident_Index,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,1st_Road_Class,Road_Type,Speed_limit,Junction_Detail,2nd_Road_Class,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Hour,Two_Hour_Groupings,Time_of_Day,Was_Daylight,Was_Bad_Weather,Was_Road_Dry,log_Number_of_Casualties,log_Number_of_Vehicles,LSOA,population_per_hectare,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf,Road,RCat"
"201301BS70003,-0.171402,51.486361,Serious,2,1,2013-01-02,Wednesday,A,Single carriageway,30.0,T or staggered junction,Unclassified,Daylight,Fine no high winds,Dry,Urban,9,8am-10am,Morning,Yes,No,Yes,0.0,0.6931471805599453,E01002844,110.8,1634.4,860.4,14888.0,1139.8,2297.0,352.0,A3217,PA"
"201301BS70005,-0.17335599999999998,51.49511500000001,Slight,1,2,2013-01-04,Friday,A,Single carriageway,30.0,Crossroads,A,Daylight,Other,Dry,Urban,8,8am-10am,Morning,Yes,Yes,Yes,0.6931471805599453,0.0,E01002821,74.6,559.6,1516.0,28505.6,1396.2,3868.6,1003.0,A4,PA"
"201301BS70006,-0.210767,51.51835300000001,Slight,1,1,2013-01-07,Monday,B,Single carriageway,30.0,Crossroads,B,Daylight,Fine no high winds,Dry,Urban,11,10am-12pm,Office hours,Yes,No,Yes,0.0,0.0,E01002878,133.4,2.6,3898.2,63274.8,763.4,15253.6,3185.8,A40,PA"
"201301BS70007,-0.209675,51.51680800000001,Slight,2,1,2013-01-10,Thursday,B,Single carriageway,30.0,Crossroads,C,Daylight,Fine no high winds,Dry,Urban,10,10am-12pm,Office hours,Yes,No,Yes,0.0,0.6931471805599453,E01002831,179.2,2.6,3898.2,63274.8,763.4,15253.6,3185.8,A40,PA"
"201301BS70009,-0.194332,51.492922,Slight,2,1,2013-01-04,Friday,A,One way street,30.0,T or staggered junction,Unclassified,Darkness - lights lit,Fine no high winds,Dry,Urban,17,4pm-6pm,Rush hour,No,No,Yes,0.0,0.6931471805599453,E01002851,272.3,869.2,1229.8,20478.6,897.2,4951.6,1251.4,A3220,PA"
"201301BS70010,-0.180217,51.482002,Slight,1,1,2013-01-09,Wednesday,A,Single carriageway,30.0,T or staggered junction,Unclassified,Daylight,Raining no high winds,Wet or damp,Urban,15,2pm-4pm,Rush hour,Yes,Yes,No,0.0,0.0,E01002913,173.6,1330.2,943.8,12979.4,1081.2,2550.8,636.2,A3217,PA"
"201301BS70012,-0.163378,51.499635,Slight,2,1,2013-01-13,Sunday,A,Dual carriageway,30.0,T or staggered junction,Unclassified,Daylight,Fine no high winds,Dry,Urban,12,12pm-2pm,Office hours,Yes,No,Yes,0.0,0.6931471805599453,E01002819,74.0,1176.8,1913.0,17788.2,1424.0,3614.4,721.0,A4,PA"
"201301BS70013,-0.174414,51.493872,Slight,1,1,2013-01-15,Tuesday,C,Single carriageway,30.0,More than 4 arms (not roundabout),A,Darkness - lights lit,Fine no high winds,Dry,Urban,18,6pm-8pm,Rush hour,No,No,Yes,0.0,0.0,E01002821,74.6,1265.0,1051.8,12939.8,1186.0,1965.8,656.6,A308,PA"
"201301BS70015,-0.2079030000000001,51.499515,Slight,1,1,2013-01-13,Sunday,A,Single carriageway,30.0,T or staggered junction,A,Daylight,Fine no high winds,Dry,Urban,14,2pm-4pm,Office hours,Yes,No,Yes,0.0,0.0,E01002864,50.5,711.6,1034.8,18093.6,494.0,4203.2,1222.8,A3220,PA"
"201301BS70018,-0.196219,51.499875,Slight,2,1,2013-01-06,Sunday,A,Single carriageway,30.0,T or staggered junction,Unclassified,Darkness - lights lit,Fine no high winds,Dry,Urban,17,4pm-6pm,Rush hour,No,No,Yes,0.0,0.6931471805599453,E01002865,105.6,575.4,848.4,12193.6,694.2,3750.6,765.0,A3220,PA"
