",grid_square,latitude,longitude,population_per_hectare,bicycle_aadf,motor_vehicle_aadf,safe"
"1602,""51.512,-0.178"",51.511914000000004,-0.178017,177.2,1434.4,32176.4,0"
"66680,""51.535,0.0355"",51.534803000000004,0.035556,190.8,29.8,337.6,0"
"16842,""51.458,-0.3735"",51.458227,-0.373621,91.5,176.8,15888.000000000002,0"
"41291,""51.388,0.109"",51.387763,0.109107,28.3,35.4,28895.0,0"
"87227,""51.582,-0.096"",51.582192,-0.09596299999999999,60.4,264.8,16807.8,0"
"56947,""51.437,0.176"",51.437169,0.17613299999999998,23.4,12.4,97455.20000000001,0"
"107399,""51.464,-0.3845"",51.463775,-0.384653,116.5,190.4,16156.999999999998,0"
"129895,""51.4245,-0.005"",51.42426,-0.005007,55.6,231.6,15218.800000000001,0"
"22038,""51.3295,-0.1265"",51.329535,-0.126402,47.7,73.2,24309.0,0"
"22944,""51.3695,-0.1405"",51.369685,-0.14028,4.3,136.6,27055.2,0"
"55773,""51.4145,-0.3895"",51.41438,-0.389314,10.2,151.2,17825.0,0"
"83090,""51.712,-0.195"",51.712121,-0.195118,6.8,82.6,18748.800000000003,0"
"15864,""51.5225,-0.1535"",51.52268400000001,-0.153657,167.3,1897.8,74405.79999999999,0"
"98727,""51.5595,-0.0565"",51.559513,-0.056514999999999996,134.2,1128.6,25302.800000000003,0"
"134442,""51.506,-0.1315"",51.505838,-0.131279,14.7,813.6,20995.8,0"
"84587,""51.2845,-0.3165"",51.284674,-0.31652199999999997,2.3,41.6,23494.8,0"
"139299,""51.561,-0.099"",51.561074,-0.099006,159.2,294.8,225.8,0"
"128839,""51.579,-0.099"",51.578790999999995,-0.099133,27.7,752.2,20751.399999999998,0"
"114921,""51.351,-0.435"",51.350836,-0.434928,2.6,133.4,17644.399999999998,0"
"74739,""51.6405,-0.2565"",51.640577,-0.256274,7.6,46.8,59510.8,0"
"15865,""51.573,-0.1405"",51.572927,-0.140654,72.5,866.2,25082.600000000002,0"
"11940,""51.4275,-0.0585"",51.427529,-0.058380999999999995,97.8,158.0,18897.199999999997,0"
"138262,""51.373,-0.2815"",51.373158000000004,-0.28165999999999997,13.5,295.0,48718.80000000001,0"
"60787,""51.526,-0.0875"",51.525996,-0.087663,65.6,3399.0,35406.00000000001,0"
"100008,""51.5655,-0.0095"",51.565649,-0.009503,180.4,280.0,15230.4,0"
"45035,""51.465,-0.263"",51.464914,-0.263104,131.4,770.8,22456.0,0"
"6425,""51.6005,-0.015"",51.60045,-0.014768,48.1,105.6,14043.599999999999,0"
"70688,""51.3685,-0.0065"",51.368709,-0.006443000000000001,19.5,115.4,17439.4,0"
"144597,""51.268,-0.33"",51.268114000000004,-0.330163,1.8,503.4,35287.0,0"
"91042,""51.482,-0.01"",51.481753999999995,-0.00999,47.2,783.2,10485.0,0"
"51198,""51.6015,-0.0495"",51.601393,-0.049527999999999996,47.6,104.8,36007.0,0"
"56479,""51.2655,-0.1465"",51.265454,-0.14635499999999999,48.6,32.4,6470.799999999999,0"
"110043,""51.6215,-0.0615"",51.621648,-0.061662,98.4,28.8,94679.6,0"
"111625,""51.692,-0.3755"",51.692043,-0.375337,1.3,0.0,97373.59999999999,0"
"138459,""51.5265,-0.266"",51.526428,-0.265805,19.1,28.4,649.0,0"
"112351,""51.6375,-0.5095"",51.63774,-0.509624,4.5,6.4,19430.600000000002,0"
"41681,""51.5825,-0.331"",51.582357,-0.331232,73.3,75.6,29195.800000000003,0"
"122212,""51.5695,-0.073"",51.569551000000004,-0.07296799999999999,188.3,1837.0,24516.999999999996,0"
"18386,""51.4515,-0.222"",51.451257,-0.22188400000000005,21.1,764.6,29127.8,0"
"96544,""51.513,-0.156"",51.513095,-0.155775,70.6,1272.8,11033.0,0"
"146633,""51.4435,0.2375"",51.443462,0.23747800000000002,52.8,1.3333333333333333,121807.99999999999,0"
"4768,""51.5285,-0.0885"",51.528477,-0.08868999999999999,143.3,211.0,4324.6,0"
"141849,""51.5635,0.1025"",51.563297,0.102648,127.5,19.0,1495.6,0"
"45434,""51.4655,-0.364"",51.465467,-0.364006,89.4,124.2,16560.6,0"
"5817,""51.5145,-0.056"",51.514268,-0.055847,178.3,92.0,2197.8,0"
"42069,""51.5945,-0.2815"",51.594587,-0.281406,69.9,74.2,28633.000000000007,0"
"144884,""51.424,-0.4495"",51.423777,-0.4492600000000001,61.8,49.8,1490.0,0"
"21535,""51.5755,-0.0985"",51.5754,-0.09855599999999999,27.7,2093.0,29522.0,0"
"118318,""51.5525,-0.141"",51.552395000000004,-0.14105499999999999,158.0,2763.0,16521.999999999996,0"
"55624,""51.416,-0.535"",51.415843,-0.535044,3.1,2.8,100.00000000000001,0"
"123898,""51.593,-0.069"",51.59314000000001,-0.069227,147.2,1035.4,27430.6,0"
"125193,""51.556,0.066"",51.556218,0.06582400000000001,88.8,746.0,42831.0,0"
"50814,""51.597,-0.109"",51.597064,-0.109202,73.3,546.6,24843.000000000004,0"
"22354,""51.3785,-0.1245"",51.378516999999995,-0.124546,20.8,158.0,22773.600000000002,0"
"6925,""51.5465,0.0955"",51.546551,0.095674,72.8,43.8,23144.799999999996,0"
"39252,""51.4915,-0.0905"",51.491457000000004,-0.090527,170.6,2769.6,35114.0,0"
"56137,""51.4275,-0.5245"",51.427599,-0.5245850000000001,33.8,89.6,2477.4,0"
"38822,""51.5055,-0.0955"",51.505297999999996,-0.095568,90.0,4628.6,8480.0,0"
"127830,""51.485,-0.094"",51.484911,-0.093822,65.4,2632.2,15923.000000000002,0"
"66194,""51.537,0.0255"",51.537137,0.025422,159.1,212.4,14170.400000000001,0"
"49376,""51.565,-0.455"",51.56517,-0.4552229999999999,14.6,123.8,17657.8,0"
"129071,""51.511,-0.1195"",51.511133,-0.11938900000000001,38.2,7898.2,22674.200000000004,0"
"46859,""51.4,-0.1325"",51.39987100000001,-0.13273,55.6,279.6,21112.6,0"
"129133,""51.478,-0.0565"",51.477916,-0.05667100000000001,134.8,2023.6,30623.4,0"
"81371,""51.405,-0.1205"",51.404764,-0.120331,128.1,379.2,19175.399999999998,0"
"38271,""51.45,-0.1385"",51.449870000000004,-0.138318,144.8,421.2,4081.9999999999995,0"
