"""date"",""geography"",""geography code"",""Rural Urban"",""Variable: All usual residents; measures: Value"",""Variable: Males; measures: Value"",""Variable: Females; measures: Value"",""Variable: Lives in a household; measures: Value"",""Variable: Lives in a communal establishment; measures: Value"",""Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value"",""Variable: Area (Hectares); measures: Value"",""Variable: Density (number of persons per hectare); measures: Value"""
"""2011"",""Darlington 001B"",""E01012334"",""Total"",2466,1220,1246,2466,0,42,6033.58,0.4"
"""2011"",""Darlington 001C"",""E01012335"",""Total"",1383,682,701,1383,0,21,114.01,12.1"
"""2011"",""Darlington 001D"",""E01012366"",""Total"",2008,972,1036,2008,0,30,6718.16,0.3"
"""2011"",""Darlington 001E"",""E01033481"",""Total"",1364,680,684,1350,14,21,146.95,9.3"
"""2011"",""Darlington 001F"",""E01033482"",""Total"",1621,810,811,1621,0,16,234.31,6.9"
"""2011"",""Darlington 002C"",""E01012323"",""Total"",1563,799,764,1563,0,12,55.47,28.2"
"""2011"",""Darlington 002D"",""E01012324"",""Total"",1399,671,728,1399,0,15,20.68,67.6"
"""2011"",""Darlington 002E"",""E01032545"",""Total"",1259,631,628,1257,2,9,36.06,34.9"
"""2011"",""Darlington 002F"",""E01032546"",""Total"",1776,886,890,1775,1,15,93.82,18.9"
"""2011"",""Darlington 003A"",""E01012328"",""Total"",1571,768,803,1571,0,11,25.72,61.1"
"""2011"",""Darlington 003B"",""E01012329"",""Total"",1770,855,915,1770,0,41,69.44,25.5"
"""2011"",""Darlington 003C"",""E01012330"",""Total"",1145,549,596,1145,0,18,28.43,40.3"
"""2011"",""Darlington 003D"",""E01012331"",""Total"",1255,609,646,1223,32,17,23.36,53.7"
"""2011"",""Darlington 004A"",""E01012349"",""Total"",1532,762,770,1502,30,6,32.27,47.5"
"""2011"",""Darlington 004B"",""E01012350"",""Total"",1517,747,770,1517,0,7,27.56,55.0"
"""2011"",""Darlington 004C"",""E01012351"",""Total"",1438,718,720,1438,0,20,28.09,51.2"
"""2011"",""Darlington 004D"",""E01012352"",""Total"",1579,774,805,1516,63,5,36.30,43.5"
"""2011"",""Darlington 005A"",""E01012325"",""Total"",1456,709,747,1435,21,10,43.36,33.6"
"""2011"",""Darlington 005B"",""E01012326"",""Total"",1129,550,579,1116,13,5,48.73,23.2"
"""2011"",""Darlington 005C"",""E01012332"",""Total"",1427,656,771,1330,97,7,24.54,58.1"
"""2011"",""Darlington 005D"",""E01012333"",""Total"",1451,691,760,1405,46,16,39.56,36.7"
"""2011"",""Darlington 006A"",""E01012309"",""Total"",1858,916,942,1858,0,25,37.37,49.7"
"""2011"",""Darlington 006B"",""E01012310"",""Total"",1960,961,999,1956,4,17,40.42,48.5"
"""2011"",""Darlington 006C"",""E01012311"",""Total"",1567,731,836,1567,0,22,29.04,54.0"
"""2011"",""Darlington 006D"",""E01012312"",""Total"",1351,649,702,1351,0,13,21.36,63.2"
"""2011"",""Darlington 006E"",""E01012313"",""Total"",1402,662,740,1393,9,8,40.12,34.9"
"""2011"",""Darlington 006F"",""E01012314"",""Total"",1364,652,712,1364,0,12,28.09,48.6"
"""2011"",""Darlington 007A"",""E01012362"",""Total"",1376,677,699,1376,0,6,13.96,98.6"
"""2011"",""Darlington 007B"",""E01012363"",""Total"",1334,647,687,1334,0,4,12.99,102.7"
"""2011"",""Darlington 007C"",""E01012364"",""Total"",1485,690,795,1451,34,18,19.62,75.7"
"""2011"",""Darlington 007D"",""E01012365"",""Total"",1255,587,668,1251,4,20,21.96,57.1"
"""2011"",""Darlington 008B"",""E01012353"",""Total"",1612,822,790,1612,0,11,12.90,125.0"
"""2011"",""Darlington 008C"",""E01012354"",""Total"",1608,870,738,1570,38,11,24.37,66.0"
"""2011"",""Darlington 008D"",""E01012355"",""Total"",1491,756,735,1439,52,21,25.80,57.8"
"""2011"",""Darlington 008E"",""E01033483"",""Total"",1040,570,470,993,47,16,59.40,17.5"
"""2011"",""Darlington 008F"",""E01033484"",""Total"",1167,595,572,1143,24,7,53.72,21.7"
"""2011"",""Darlington 009A"",""E01012307"",""Total"",1897,969,928,1848,49,13,85.56,22.2"
"""2011"",""Darlington 009B"",""E01012327"",""Total"",1575,697,878,1575,0,4,48.78,32.3"
"""2011"",""Darlington 009C"",""E01012342"",""Total"",1778,829,949,1730,48,12,110.56,16.1"
"""2011"",""Darlington 009D"",""E01012343"",""Total"",2004,984,1020,2004,0,12,165.93,12.1"
"""2011"",""Darlington 010A"",""E01012315"",""Total"",1648,781,867,1646,2,35,40.92,40.3"
"""2011"",""Darlington 010B"",""E01012316"",""Total"",2515,1256,1259,2443,72,77,55.80,45.1"
"""2011"",""Darlington 010C"",""E01012360"",""Total"",1742,820,922,1702,40,44,58.84,29.6"
"""2011"",""Darlington 011A"",""E01012336"",""Total"",1745,815,930,1681,64,57,109.32,16.0"
"""2011"",""Darlington 011B"",""E01012337"",""Total"",1733,831,902,1682,51,40,68.78,25.2"
"""2011"",""Darlington 011C"",""E01012347"",""Total"",1722,829,893,1722,0,39,40.88,42.1"
"""2011"",""Darlington 011D"",""E01012348"",""Total"",1986,952,1034,1986,0,25,61.39,32.4"
"""2011"",""Darlington 011E"",""E01012361"",""Total"",1909,897,1012,1897,12,41,225.58,8.5"
"""2011"",""Darlington 012A"",""E01012304"",""Total"",1210,588,622,1191,19,1,17.56,68.9"
"""2011"",""Darlington 012B"",""E01012305"",""Total"",1231,624,607,1231,0,7,14.69,83.8"
"""2011"",""Darlington 012C"",""E01012306"",""Total"",1591,764,827,1415,176,18,30.17,52.7"
"""2011"",""Darlington 012D"",""E01012340"",""Total"",2422,1197,1225,2349,73,14,39.89,60.7"
"""2011"",""Darlington 012E"",""E01012341"",""Total"",1759,832,927,1759,0,3,24.93,70.6"
"""2011"",""Darlington 013A"",""E01012317"",""Total"",1370,675,695,1370,0,7,31.63,43.3"
"""2011"",""Darlington 013B"",""E01012318"",""Total"",2335,1149,1186,2297,38,13,77.51,30.1"
