AADFYear,CP,Estimation_method,Estimation_method_detailed,ONS GOR Name,ONS LA Name,Road,RCat,S Ref E,S Ref N,S Ref Latitude,S Ref Longitude,A-Junction,B-Junction,LenNet,LenNet_miles,FdPC,Fd2WMV,FdCar,FdBUS,FdLGV,FdHGVR2,FdHGVR3,FdHGVR4,FdHGVA3,FdHGVA5,FdHGVA6,FdHGV,FdAll_MV
"2000,51,Estimated,Estimated using previous year's AADF on this link,South West,Isles of Scilly,A3111,PA,90200,10585,49.91502292,-6.317072964,""Pierhead, Hugh Town"",A3112,0.3,0.19,105,87,837,25,451,30,0,0,0,0,0,30,1430"
2000,52,Estimated,Estimated using previous year's AADF on this link,South West,Isles of Scilly,A3112,PA,91000,10240,49.91234266,-6.305685679,A3111,A3110,2,1.24,82,246,617,16,250,11,0,0,0,0,0,11,1140
2000,53,Estimated,Estimated using previous year's AADF on this link,South West,Isles of Scilly,A3111,PA,91000,10775,49.91714081,-6.306113756,A3112,A3110,1.2,0.75,112,98,491,16,264,15,0,0,0,0,0,15,884
2000,54,Estimated,Estimated using previous year's AADF on this link,South West,Isles of Scilly,A3110,PA,91515,10820,49.91781028,-6.298996455,A3111,A3112,0.2,0.12,84,66,465,15,214,14,0,0,0,0,0,14,774
2000,55,Estimated,Estimated using previous year's AADF on this link,South West,Isles of Scilly,A3110,PA,91800,10890,49.91858504,-6.295093656,A3111,A3112,4,2.49,155,30,401,22,77,27,0,0,0,0,0,27,557
2000,501,Counted,Manual count,Wales,Newport,M4,TM,328570,187000,51.57732031,-3.032184269,28,27,2.2,1.37,0,327,75586,574,9347,3766,438,324,1193,3893,1699,11313,97147
2000,502,Counted,Manual count,Wales,Bridgend,M4,TM,280770,182100,51.52519,-3.720044465,LA Boundary,37,2.9,1.8,0,199,37512,252,6606,1642,426,606,523,1664,1159,6020,50589
2000,503,Counted,Manual count,Wales,Swansea,M4,TM,263100,199260,51.67537878,-3.981299876,47,46,2.9,1.8,0,140,31146,183,5055,1669,357,370,347,1061,396,4200,40724
2000,504,Counted,Manual count,Wales,Isle of Anglesey,A5,TA,240000,376000,53.25681469,-4.39997507,A4080,A5114,9.4,5.84,4,35,9038,120,1625,633,201,271,29,268,122,1524,12342
2000,505,Estimated,Estimated using previous year's AADF on this link,Wales,Gwynedd,A5,PA,256000,371400,53.22008143,-4.158239803,A487,A4087,2.9,1.8,86,55,14455,218,1057,78,8,1,1,3,0,91,15876
2000,506,Estimated,Estimated using previous year's AADF on this link,Wales,Conwy,A5,TA,265200,360300,53.12278178,-4.015860795,LA Boundary,A4086,8.4,5.22,0,40,1553,40,259,57,11,0,6,14,6,94,1986
2000,508,Counted,Manual count,Wales,Denbighshire,A5,TA,324887,341121,52.96217509,-3.119702564,A539,LA Boundary,4.8,2.98,11,262,3743,69,497,140,21,13,25,84,37,320,4891
2000,509,Counted,Manual count,Wales,Monmouthshire,A40,TA,350000,211160,51.79684244,-2.726434945,A449,B4233,9.7,6.03,0,63,17237,116,2803,1733,165,117,776,1766,889,5446,25665
