AADFYear,CP,Estimation_method,Estimation_method_detailed,ONS GOR Name,ONS LA Name,Road,RCat,S Ref E,S Ref N,S Ref Latitude,S Ref Longitude,FdPC,Fd2WMV,FdCar,FdBUS,FdLGV,FdHGVR2,FdHGVR3,FdHGVR4,FdHGVA3,FdHGVA5,FdHGVA6,FdHGV,FdAll_MV
2000,967005,Counted,Manual count,North West,Manchester,U,MCU,384494,396897,53.46858057,-2.235049985,184,57,7267,39,609,106,9,2,2,4,1,124,8096
2000,967179,Counted,Manual count,Yorkshire and The Humber,Kirklees,B6109,MB,408056,413758,53.6203044,-1.879683664,7,14,1770,30,354,15,2,2,0,2,0,21,2189
2000,979024,Counted,Manual count,Yorkshire and The Humber,Kirklees,C,MCU,422977,420944,53.68445346,-1.653583135,31,34,4595,72,607,69,39,9,10,4,3,134,5442
2000,967018,Counted,Manual count,North West,Stockport,U,MCU,390800,386309,53.37355965,-2.139743871,71,60,12480,126,964,187,15,7,20,12,1,242,13872
2000,979274,Counted,Manual count,West Midlands,Dudley,U,MCU,395596,289466,52.50307629,-2.066308384,24,31,8281,230,909,35,4,4,3,1,3,50,9501
2000,990025,Counted,Manual count,West Midlands,Dudley,U,MCU,389300,283090,52.44566797,-2.158852696,39,4,1055,11,77,2,2,1,0,0,0,5,1152
2000,941336,Counted,Manual count,North East,North Tyneside,U,MCU,428667,569934,55.02312514,-1.55314559,27,2,423,0,40,5,0,0,0,0,0,5,470
2000,941339,Counted,Manual count,North East,North Tyneside,U,MCU,429178,569901,55.02279902,-1.545156533,17,6,541,8,64,0,0,0,0,0,0,0,619
2000,990334,Counted,Manual count,London,Sutton,U,MCU,525950,165060,51.37064197,-0.191983833,61,144,6407,92,1114,87,4,3,2,0,0,96,7853
2000,942294,Counted,Manual count,South East,Buckinghamshire,U,MCU,494651,204919,51.73500141,-0.630752964,34,27,1307,37,204,42,7,0,0,1,0,50,1625
2000,942230,Counted,Manual count,East Midlands,Northamptonshire,C54,MCU,453190,244623,52.09740032,-1.224951303,1,6,1401,24,171,3,2,1,23,18,0,47,1649
2000,950111,Counted,Manual count,Yorkshire and The Humber,Wakefield,B6128,MB,428660,418890,53.66571279,-1.567728514,77,95,8157,218,1148,139,15,7,7,4,3,175,9793
2000,966214,Counted,Manual count,East Midlands,Derby,U,MCU,440914,336343,52.92295093,-1.392891147,20,11,1949,109,137,17,0,0,0,0,0,17,2223
2000,990083,Counted,Manual count,South East,Wokingham,B3349,MB,471710,165550,51.3844777,-0.970913431,12,27,6646,51,0,768,140,14,21,6,5,954,7678
2000,990112,Counted,Manual count,South East,Southampton,B3028,MB,442930,111630,50.90255709,-1.39086077,203,294,10179,50,2180,355,66,171,42,93,63,790,13493
2000,990082,Counted,Manual count,South East,Wokingham,B3349,MB,480450,168480,51.40964801,-0.844682068,261,59,6357,110,747,269,22,5,15,18,2,331,7604
2000,941519,Counted,Manual count,Yorkshire and The Humber,Leeds,U,MCU,418880,444030,53.89211035,-1.714209195,5,5,465,0,39,1,0,0,0,0,0,1,510
2000,966894,Counted,Manual count,South East,Surrey,U,MCU,483527,142910,51.17933407,-0.806425953,14,4,2018,28,122,29,4,0,0,0,0,33,2205
2000,966123,Counted,Manual count,North East,Hartlepool,B1277,MB,450606,532107,54.68148681,-1.216631804,160,85,10809,623,1160,246,18,1,6,3,2,276,12953
2000,966851,Counted,Manual count,West Midlands,Staffordshire,B5053,MB,406520,357000,53.11015067,-1.904054658,1,34,703,9,141,28,5,4,3,3,2,45,932
2000,990147,Counted,Manual count,London,Newham,B116,MB,540520,182730,51.52600854,0.024207579,101,76,5875,310,757,154,8,3,5,0,0,170,7188
2000,951133,Counted,Manual count,Scotland,Glasgow City,U,MCU,254166,668012,55.8831107,-4.333001057,37,45,6994,240,823,81,8,3,7,20,3,122,8224
2000,944253,Counted,Manual count,North West,Lancashire,C573,MCU,369178,444104,53.89219214,-2.470471109,58,68,442,5,116,4,2,9,19,5,0,39,670
2000,941389,Counted,Manual count,North West,Lancashire,C108,MCU,337944,410704,53.58922838,-2.938955944,16,12,3554,6,391,44,5,4,0,0,0,53,4016
2000,941447,Counted,Manual count,North West,Lancashire,U,MCU,373226,444056,53.89198643,-2.408874596,33,6,1125,36,157,20,4,3,9,1,0,37,1361
2000,990636,Counted,Manual count,London,Ealing,U,MCU,519215,180215,51.50830049,-0.283593071,6,4,237,1,17,2,0,0,0,0,0,2,261
2000,996199,Estimated,Estimated using previous year's AADF on this link,Wales,Conwy,B5115,MB,279324,382107,53.32208936,-3.813177883,54,95,12082,59,919,157,4,1,7,2,0,171,13326
2000,919476,Counted,Manual count,South West,South Gloucestershire,C,MCU,368399,174362,51.4673388,-2.456315735,27,149,9228,19,972,102,0,0,1,2,0,105,10473
2000,953236,Counted,Manual count,London,Southwark,U,MCU,534733,178577,51.49009755,-0.060745026,129,112,2567,9,946,40,5,2,2,1,0,50,3684
2000,961663,Counted,Manual count,North East,Durham,C,MCU,438100,534000,54.69959571,-1.410337165,11,8,1085,1,161,53,0,1,9,1,2,66,1321
2000,951162,Counted,Manual count,Scotland,South Lanarkshire,U,MCU,264130,659390,55.80861322,-4.169523038,5,15,489,0,27,7,2,0,0,0,0,9,540
2000,996847,Counted,Manual count,West Midlands,Birmingham,U,MCU,410069,280665,52.42388359,-1.853357789,16,0,517,5,44,2,0,0,0,0,0,2,568
2000,991117,Counted,Manual count,South East,Kent,C,MCU,629761,169988,51.38241152,1.300497888,30,9,618,5,56,7,0,1,0,0,0,8,696
2000,952963,Counted,Manual count,East of England,Cambridgeshire,U,MCU,531194,280069,52.40291472,-0.072988192,62,54,4548,70,703,113,15,13,10,13,9,173,5548
2000,956584,Counted,Manual count,East of England,Cambridgeshire,U,MCU,542663,241755,52.05582078,0.07933047,0,6,545,2,50,16,2,0,0,0,0,18,621
2000,953311,Counted,Manual count,London,Havering,C,MCU,554300,182880,51.52376263,0.222758799,14,133,5434,19,815,60,4,56,0,0,0,120,6521
2000,948052,Counted,Manual count,London,Havering,U,MCU,556000,186000,51.5513276,0.248624634,39,0,413,4,35,0,0,0,0,0,0,0,452
2000,941361,Counted,Manual count,North East,Middlesbrough,U,MCU,448862,519832,54.57135629,-1.245721022,143,22,5495,169,673,93,0,1,0,1,2,97,6456
2000,966073,Estimated,Estimated using previous year's AADF on this link,East of England,Cambridgeshire,C,MCU,528843,294245,52.53084486,-0.102053468,7,2,289,0,93,31,3,6,4,3,1,48,432
2000,946371,Counted,Manual count,East of England,Cambridgeshire,U,MCU,535230,306170,52.63643676,-0.003093846,14,3,267,0,66,11,0,2,0,1,0,14,350
2000,997238,Counted,Manual count,Yorkshire and The Humber,North Lincolnshire,C201,MCU,473339,408369,53.56681759,-0.89411571,2,3,1849,3,372,41,2,3,0,4,1,51,2278
2000,944844,Counted,Manual count,East Midlands,Derbyshire,U,MCU,429559,361723,53.15183025,-1.559461112,8,1,617,6,58,12,0,0,0,0,0,12,694
2000,982062,Estimated,Estimated using previous year's AADF on this link,Scotland,Scottish Borders,B6399,MB,350100,614000,55.41736269,-2.789811769,8,2,594,20,93,15,0,3,2,0,0,20,729
2000,983045,Counted,Manual count,Scotland,Aberdeenshire,B979,MB,387250,788000,56.98301756,-2.211409437,18,87,1600,6,233,59,26,28,28,67,70,278,2204
2000,950810,Counted,Manual count,South West,Devon,B3181,MB,302129,105392,50.83975218,-3.391350783,57,91,3777,31,474,104,19,9,7,23,17,179,4552
2000,942759,Counted,Manual count,South West,Devon,C229,MCU,281145,77498,50.58508533,-3.68025262,51,65,1891,30,139,11,1,0,0,0,0,12,2137
2000,990183,Counted,Manual count,Scotland,Orkney Islands,B9057,MB,331500,1022100,59.08030014,-3.196823541,2,0,74,7,40,18,0,0,0,0,0,18,139
2000,951770,Counted,Manual count,West Midlands,Staffordshire,U,MCU,388274,309300,52.68126904,-2.174883797,37,6,647,2,63,33,5,1,1,0,0,40,758
2000,967575,Counted,Manual count,Scotland,Argyll & Bute,B844,MB,180880,721000,56.33053431,-5.54601602,0,14,674,18,103,7,1,0,2,1,1,12,821
2000,966210,Counted,Manual count,East Midlands,Derby,U,MCU,436481,337385,52.93263577,-1.458707403,66,12,680,2,120,6,2,0,1,0,0,9,823
2000,962864,Counted,Manual count,North West,Blackburn with Darwen,C,MCU,366100,426000,53.72928842,-2.515303303,31,46,4490,18,422,21,10,7,1,0,2,41,5017
2000,967172,Estimated,Estimated using previous year's AADF on this link,Yorkshire and The Humber,Calderdale,U,MCU,393619,422081,53.69513272,-2.098115583,12,7,968,25,105,17,0,0,0,2,0,19,1124
2000,990362,Counted,Manual count,Yorkshire and The Humber,Calderdale,U,MCU,406450,419820,53.67481257,-1.903839514,16,20,1326,0,174,43,0,0,0,0,0,43,1563
2000,967137,Counted,Manual count,West Midlands,Sandwell,U,MCU,397693,288042,52.49028798,-2.035405431,44,48,4958,259,577,53,39,34,2,6,1,135,5977
2000,941477,Counted,Manual count,North West,Oldham,U,MCU,392371,403367,53.52691019,-2.116551031,8,2,888,3,119,12,0,0,0,0,0,12,1024
2000,990095,Counted,Manual count,North East,Darlington,B6279,MB,431110,515950,54.53786993,-1.520702643,39,84,13771,249,1589,393,48,72,38,50,40,641,16334
2000,990307,Counted,Manual count,South West,Plymouth,U,MCU,249640,57950,50.40214245,-4.11711676,13,83,5570,115,409,20,4,0,2,0,0,26,6203
2000,990253,Counted,Manual count,South East,Brighton and Hove,C,MCU,526900,107420,50.85238733,-0.198600483,13,12,2311,87,250,19,3,0,0,0,0,22,2682
2000,966966,Counted,Manual count,South East,West Sussex,B2116,MB,531465,115300,50.92219127,-0.1309529,106,33,6779,38,555,63,8,16,3,0,0,90,7495
2000,953808,Counted,Manual count,Scotland,South Lanarkshire,C,MCU,267610,653670,55.75822072,-4.11125832,3,32,4688,5,383,10,0,28,1,0,0,39,5147
2000,951160,Estimated,Estimated using previous year's AADF on this link,Scotland,South Lanarkshire,U,MCU,262310,655240,55.77083743,-4.196440475,3,2,402,0,17,5,0,0,0,0,0,5,426
2000,968141,Counted,Manual count,North West,Stockport,C,MCU,393084,391000,53.41576026,-2.105518919,76,44,4960,198,547,59,11,0,1,0,0,71,5820
2000,981036,Estimated,Estimated using previous year's AADF on this link,Scotland,South Lanarkshire,U,MCU,265048,653885,55.75944323,-4.152159207,0,2,1008,2,63,11,1,0,0,0,0,12,1087
2000,990392,Counted,Manual count,North East,North Tyneside,U,MCU,427350,568380,55.00923492,-1.573892509,29,3,1215,0,59,6,1,0,0,0,0,7,1284
2000,967135,Counted,Manual count,West Midlands,Dudley,C,MCU,393000,294000,52.5438087,-2.104649162,15,12,2604,87,308,9,5,2,2,1,1,20,3031
2000,942119,Counted,Manual count,West Midlands,Dudley,U,MCU,394414,288702,52.49619692,-2.083708276,5,68,2460,36,273,14,2,4,1,0,3,24,2861
2000,941614,Counted,Manual count,Wales,Isle of Anglesey,U,MCU,236245,382770,53.31646637,-4.459700701,4,6,261,2,104,15,6,0,0,0,0,21,394
2000,990151,Counted,Manual count,London,Islington,B515,MB,531440,184050,51.54005518,-0.106109107,363,378,9494,78,1705,301,25,20,8,3,1,358,12013
2000,990339,Counted,Manual count,London,Croydon,C,MCU,537970,163240,51.35149639,-0.020115308,6,30,3100,308,458,38,1,0,0,0,0,39,3935
2000,910026,Counted,Manual count,Wales,Bridgend,C,MCU,290181,186289,51.56475091,-3.585755757,2,7,2106,74,248,33,0,0,0,0,0,33,2468
2000,953214,Counted,Manual count,London,Croydon,U,MCU,531255,160470,51.32819213,-0.117506616,4,25,1996,7,156,18,2,0,0,0,0,20,2204
2000,966297,Counted,Manual count,North East,Durham,U,MCU,415000,534000,54.70080862,-1.768764897,8,34,2111,27,317,44,8,10,3,8,5,78,2567
2000,966959,Counted,Manual count,South East,West Sussex,C,MCU,518538,133157,51.08549385,-0.308956037,53,10,7433,60,464,56,10,50,22,5,3,146,8113
2000,979265,Counted,Manual count,Yorkshire and The Humber,Leeds,U,MCU,427384,438141,53.83880482,-1.585339861,42,36,5989,56,303,20,1,4,2,0,0,27,6411
2000,966815,Counted,Manual count,South West,Somerset,C3939,MCU,297000,146250,51.20614325,-3.475788407,330,97,5076,83,591,67,6,0,3,0,0,76,5923
2000,966818,Counted,Manual count,South West,Somerset,B3139,MB,331221,147946,51.22654455,-2.986350509,498,152,9229,206,1072,166,11,1,8,4,2,192,10851
2000,966937,Counted,Manual count,West Midlands,Warwickshire,C41,MCU,419315,258951,52.22842643,-1.718632967,5,7,558,1,93,8,1,0,4,1,1,15,674
2000,967660,Counted,Manual count,South West,Cornwall excluding Isles of Scilly,U,MCU,195330,57968,50.38589629,-4.880449032,18,60,1187,8,123,12,0,0,2,0,0,14,1392
2000,967663,Counted,Manual count,West Midlands,Wolverhampton,U,MCU,394100,295000,52.5528118,-2.088447323,32,46,7279,17,1370,191,13,13,4,5,5,231,8943
2000,966941,Counted,Manual count,West Midlands,Warwickshire,U,MCU,429900,266000,52.2913264,-1.563042635,105,70,8200,157,663,62,11,1,0,2,11,87,9177
2000,953146,Counted,Manual count,London,Ealing,U,MCU,520329,179599,51.5025284,-0.267758973,71,73,4149,114,824,117,5,0,3,0,0,125,5285
2000,990246,Counted,Manual count,Yorkshire and The Humber,Rotherham,C,MCU,445890,385380,53.36330942,-1.311877511,43,67,6787,146,761,56,4,4,4,2,3,73,7834
2000,990289,Estimated,Estimated using previous year's AADF on this link,Wales,The Vale of Glamorgan,C,MCU,299980,173130,51.44829505,-3.440699501,13,52,1961,19,242,25,0,0,0,0,1,26,2300
2000,967072,Counted,Manual count,Yorkshire and The Humber,Rotherham,U,MCU,442014,393039,53.43247005,-1.369100928,7,1,315,2,39,3,2,0,0,0,0,5,362
2000,967348,Counted,Manual count,Wales,Monmouthshire,U,MCU,338930,196550,51.66439656,-2.884370292,5,0,375,4,66,13,2,0,1,0,0,16,461
2000,950698,Counted,Manual count,East Midlands,Derbyshire,B6179,MB,437792,346225,53.01200615,-1.43817523,67,226,9007,88,1077,329,40,29,13,24,11,446,10844
2000,942607,Counted,Manual count,South East,Hampshire,U,MCU,468254,109837,50.88400271,-1.031105994,24,9,492,2,56,0,0,0,0,0,0,0,559
2000,966412,Counted,Manual count,South East,Hampshire,U,MCU,434777,115088,50.93419859,-1.506471291,154,55,6056,3,1562,515,66,52,47,76,36,792,8468
2000,966603,Counted,Manual count,East Midlands,Leicester,U,MCU,459650,298800,52.58374675,-1.121058916,172,52,6187,69,838,91,1,9,4,6,6,117,7263
2000,952735,Counted,Manual count,South West,Plymouth,U,MCU,251900,53287,50.36080923,-4.083500433,29,77,6400,166,543,28,6,0,1,0,0,35,7221
2000,919007,Counted,Manual count,North West,Oldham,B6197,MB,396581,408487,53.57297559,-2.053102464,8,15,1805,3,218,19,2,0,0,0,0,21,2062
2000,966308,Counted,Manual count,North East,Darlington,U,MCU,426575,513972,54.52035161,-1.590967256,18,7,1103,51,65,4,0,0,0,0,0,4,1230
2000,997015,Counted,Manual count,North East,North Tyneside,B1325,MB,432675,573054,55.05091449,-1.490102233,42,169,1863,19,224,15,1,0,0,1,0,17,2292
