AADFYear,CP,Road,RCat,S Ref Latitude,S Ref Longitude,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf
2013,51,A3111,PA,49.91502292,-6.317072963999999,285,92,527,26,326,38
2013,52,A3112,PA,49.91234266,-6.305685679,105,76,614,9,191,10
2013,53,A3111,PA,49.91714081,-6.306113756,219,170,753,48,377,34
2013,54,A3110,PA,49.91781028,-6.298996455,73,52,335,6,216,32
2013,55,A3110,PA,49.91858504,-6.295093656000001,40,20,162,0,130,14
2013,60,A6097,PA,52.96782793,-0.960757848,24,156,15859,49,2670,1095
2013,61,A8,PA,55.85186829,-4.270159054,62,42,5316,119,844,170
2013,62,M80,TM,55.94314670000001,-4.014292268,0,184,40997,218,7179,5268
2013,63,M74,TM,55.83607715,-4.180267528,0,216,49442,231,7967,7212
2013,64,A3027,PA,51.01867423,-3.10528354,503,167,11843,394,1849,159
2013,501,M4,TM,51.57732031,-3.0321842689999996,0,449,84596,589,11891,8455
2013,502,M4,TM,51.52519,-3.720044465,0,114,49417,143,8343,4773
2013,503,M4,TM,51.67537878,-3.9812998760000005,0,316,49261,210,9441,3810
2013,505,A5,PA,53.22008143,-4.158239803,77,84,11114,199,1238,73
2013,506,A5,TA,53.12266191,-4.0016571160000005,20,31,1604,18,426,67
2013,508,A5,TA,52.96217509,-3.119702564,10,135,4514,107,882,379
2013,509,A40,TA,51.79684244,-2.726434945,1,43,17267,87,3754,3689
2013,510,A40,TA,51.84024887,-3.090006725,37,65,6921,61,1147,315
2013,512,A40,TA,51.951469,-3.60199923,5,72,2697,69,734,481
2013,514,A40,TA,51.86721874,-4.252634039,21,110,7595,44,1113,301
2013,515,A40,TA,51.81894357,-4.685548935,0,20,9073,47,2011,687
2013,516,A40,TA,51.93039276,-4.993778463,11,100,4936,40,741,272
2013,520,A48,PA,51.55133144,-3.715693758,17,45,4239,63,1023,124
2013,521,A48,PA,51.47709918,-3.513319138,5,49,9325,72,1685,217
2013,522,A48,PA,51.46710306,-3.26824372,59,75,16527,271,2328,446
2013,524,A55,TA,53.2666872,-3.941950429,0,115,18394,70,3446,1621
2013,525,A55,TA,53.289185700000004,-3.6216092860000004,0,156,36809,183,6253,2055
2013,526,A55,TA,53.27113394,-3.337743029,0,112,27500,130,5294,2152
2013,527,A55,TA,53.16409453,-3.027382177,0,146,21596,73,3384,1704
2013,528,A458,TA,52.65390547,-3.184053693,0,35,3153,38,887,199
2013,530,A465,TA,51.75633055,-3.4357059189999997,3,65,16487,150,3319,1155
2013,532,A465,TA,51.81159316,-3.016785777,6,174,20137,73,3467,1233
2013,533,A470,TA,53.24096228,-3.7996151719999998,6,65,5475,55,1166,238
2013,534,A470,TA,52.94474459,-3.936128628,1,22,1105,11,315,40
2013,535,A470,TA,52.74845038,-3.8533287769999998,2,53,3343,53,679,215
2013,536,A470,TA,52.45512624,-3.476758111,0,71,5273,74,297,540
2013,538,A470,TA,52.00639483,-3.287121884,0,17,2668,112,642,903
2013,539,A470,TA,51.82669151,-3.45245379,0,27,4323,21,889,261
2013,540,A470,TA,51.64637571,-3.3194919639999996,23,346,34150,284,6713,1579
2013,541,A470,TA,51.54755918,-3.2669323560000003,0,144,60311,300,10266,2889
2013,542,A477,TA,51.79094944,-4.538616196,3,40,5498,129,1393,672
2013,544,A483,TA,51.81698234,-4.002451765,37,99,7157,67,1237,192
2013,545,A483,TA,52.13810805,-3.549303992,0,81,1049,22,186,201
2013,546,A483,TA,52.26650763,-3.34263611,14,92,5609,90,1342,292
2013,547,A483,TA,52.52023309,-3.2861299610000003,5,122,7828,55,1904,880
2013,548,A483,TA,52.68245026,-3.114426477,3,34,5777,30,1218,680
2013,550,A487,TA,53.07029261,-4.283596306000001,4,13,7510,148,1631,403
2013,552,A487,TA,52.67289842,-3.872315028,1,39,1871,60,300,169
2013,553,A487,TA,52.41935711,-4.0609667080000005,102,32,9782,122,1502,268
2013,554,A487,TA,52.17022253,-4.330024914,2,38,3301,80,631,294
2013,556,A489,TA,52.6157302,-3.773859051,4,26,2601,27,348,163
2013,557,A494,TA,52.95234753,-3.48989329,0,446,3848,41,823,250
2013,558,A494,TA,53.15490859,-3.1379772139999997,14,82,5528,31,978,325
