Acc_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
201301BS70003,1,8,0,6,0,2,0,0,0,0,1,1,1,1,8,2402,2,10,8,1
201301BS70003,2,1,0,18,0,2,0,0,0,0,1,1,6,1,7,-1,-1,-1,8,1
201301BS70005,1,3,0,18,0,1,0,0,0,0,1,1,6,2,6,124,1,5,4,1
201301BS70006,1,11,0,14,0,1,0,0,0,0,0,1,1,1,8,-1,-1,-1,1,1
201301BS70007,1,3,0,4,0,8,0,0,0,0,4,1,6,1,7,124,1,7,4,1
201301BS70007,2,9,0,18,0,8,0,0,0,0,0,1,6,1,7,1985,1,10,4,1
201301BS70009,1,9,0,14,0,8,0,0,0,0,2,1,6,1,6,2494,1,8,5,1
201301BS70009,2,9,0,18,0,8,0,0,0,0,1,1,6,1,6,1995,2,13,5,1
201301BS70010,1,9,0,18,0,8,0,0,0,0,1,1,6,1,-1,2148,2,7,5,1
201301BS70012,1,8,0,6,0,8,0,0,0,0,3,1,1,1,9,2664,2,14,4,1
201301BS70012,2,5,0,18,0,8,0,0,0,0,1,1,6,1,7,1099,1,2,7,1
201301BS70013,1,1,0,7,0,8,0,0,0,0,1,1,6,1,5,-1,-1,-1,6,1
201301BS70015,1,9,0,16,0,8,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70018,1,9,0,9,0,8,0,0,0,0,4,1,6,1,7,5461,1,1,4,1
201301BS70018,2,1,0,18,0,8,0,0,0,0,1,1,6,2,6,-1,-1,-1,7,1
201301BS70019,1,5,0,6,0,0,0,0,0,0,3,1,6,1,6,750,1,13,7,1
201301BS70019,2,19,0,18,0,0,0,0,0,0,1,1,1,1,8,2402,2,8,10,1
201301BS70020,1,1,0,18,0,8,0,0,0,0,3,1,6,2,6,-1,-1,-1,3,1
201301BS70020,2,9,0,9,0,8,0,0,0,0,1,1,6,2,-1,1598,1,5,-1,-1
201301BS70021,1,9,0,18,0,8,0,0,0,0,3,1,6,2,7,1242,1,1,-1,-1
201301BS70021,2,19,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,-1,-1,1,1
201301BS70023,1,3,0,4,0,8,0,0,0,0,2,1,6,1,6,124,1,2,2,1
201301BS70023,2,9,0,18,0,8,0,0,0,0,1,1,6,1,7,1995,2,6,5,1
201301BS70024,1,9,0,18,0,0,0,0,0,0,3,1,6,1,7,1800,1,6,2,1
201301BS70024,2,9,0,18,0,0,0,4,0,0,1,1,6,1,-1,2979,1,10,4,1
201301BS70024,3,9,0,2,0,0,0,0,0,0,1,1,6,1,-1,1389,1,16,-1,-1
201301BS70024,4,9,0,2,0,0,0,0,0,0,1,1,6,1,-1,1560,2,8,8,1
201301BS70024,5,9,0,2,0,0,0,0,0,0,1,1,6,1,-1,1995,1,2,8,1
201301BS70025,1,5,0,18,0,8,0,0,0,0,1,1,6,1,5,599,1,3,5,1
201301BS70027,1,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70031,1,9,0,18,0,8,0,0,0,0,1,1,6,1,8,998,1,5,8,1
201301BS70031,2,9,0,18,0,8,0,0,0,0,4,1,6,1,8,2000,1,8,4,1
201301BS70032,1,8,0,10,0,8,0,0,0,0,2,1,1,1,8,2664,2,14,3,1
201301BS70032,2,9,0,18,0,8,0,0,0,0,1,1,6,2,6,1995,2,1,5,1
201301BS70033,1,19,0,7,0,8,0,0,0,0,4,1,1,1,6,2143,2,2,2,1
