Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
201401BS70001,1,8,0,18,0,0,0,0,0,0,4,1,1,1,49,8,1997,2,2,4,1
201401BS70001,2,19,0,15,0,0,0,0,0,0,1,1,6,1,-1,-1,4249,2,2,-1,-1
201401BS70002,1,9,0,2,0,1,0,0,0,0,3,1,6,1,-1,-1,6750,1,12,-1,-1
201401BS70002,2,1,0,14,0,1,0,4,0,0,4,1,6,2,27,6,-1,-1,-1,-1,-1
201401BS70003,1,9,0,9,0,5,0,0,0,0,3,1,6,1,49,8,1598,1,4,1,1
201401BS70003,2,3,0,13,0,8,1,0,0,0,1,1,6,1,27,6,999,1,2,7,1
201401BS70004,1,9,0,4,0,1,0,0,0,0,1,1,6,1,-1,-1,1998,1,13,-1,-1
201401BS70006,1,9,0,6,0,8,0,0,0,0,3,1,6,1,32,6,1596,1,9,6,1
201401BS70006,2,3,0,18,0,8,0,0,0,0,1,1,6,1,42,7,124,1,3,-1,-1
201401BS70008,1,9,0,2,0,0,0,0,0,0,3,1,6,1,53,8,2776,2,9,3,1
201401BS70008,2,3,0,18,0,0,0,4,0,0,1,1,6,1,41,7,124,1,13,4,1
201401BS70008,3,9,0,2,0,0,0,0,0,0,3,1,6,1,38,7,1995,2,3,7,1
201401BS70009,1,3,0,18,0,8,0,0,0,0,1,1,1,1,30,6,125,1,3,4,1
201401BS70009,2,9,0,9,0,8,0,0,0,0,4,1,1,2,70,10,1598,1,9,3,1
201401BS70010,1,19,0,18,0,8,0,0,0,0,3,1,1,1,48,8,2198,2,4,6,1
201401BS70010,2,1,0,18,0,8,0,0,0,0,1,1,6,1,71,10,-1,-1,-1,1,1
201401BS70011,1,3,0,18,0,8,0,0,0,0,1,1,6,2,45,7,124,1,15,-1,-1
201401BS70011,2,19,0,18,0,8,0,0,1,0,1,1,6,1,44,7,-1,-1,-1,4,1
201401BS70013,1,9,0,5,0,8,0,0,0,0,1,1,6,1,42,7,1968,2,1,3,1
201401BS70013,2,1,0,18,0,8,0,0,0,0,4,1,6,1,45,7,-1,-1,-1,2,1
201401BS70014,1,9,0,4,0,8,0,0,0,0,1,1,6,1,54,8,1998,1,6,5,3
201401BS70015,1,3,0,18,0,8,0,0,0,0,3,1,6,1,42,7,125,1,4,3,1
201401BS70015,2,9,0,6,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1
201401BS70016,1,9,0,1,0,8,0,0,0,0,2,1,1,1,45,7,2143,2,3,4,1
201401BS70017,1,9,0,18,9,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1
201401BS70018,1,3,0,18,0,8,0,0,0,0,1,1,2,1,-1,-1,124,1,6,3,1
201401BS70020,1,8,0,4,0,0,0,0,0,0,1,1,2,1,48,8,2979,1,10,5,2
201401BS70020,2,9,0,4,0,0,0,0,0,0,2,1,6,1,47,8,1198,1,1,5,1
201401BS70022,1,9,0,9,0,5,0,0,0,0,1,1,2,1,52,8,3498,1,2,7,1
201401BS70022,2,4,0,18,0,8,0,0,1,0,3,1,2,1,28,6,-1,-1,-1,4,1
201401BS70023,1,19,0,2,0,2,0,0,0,0,3,1,6,1,44,7,2148,2,9,5,1
201401BS70023,2,1,0,18,0,2,0,0,0,0,4,1,6,1,22,5,-1,-1,-1,7,1
201401BS70024,1,9,0,3,0,8,0,0,0,0,2,1,6,2,22,5,1595,1,6,7,1
201401BS70024,2,9,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,3824,1,8,10,1
201401BS70025,1,8,0,5,0,1,0,0,0,0,4,1,6,1,49,8,2499,2,5,-1,-1
201401BS70026,1,2,0,18,0,8,1,0,0,0,1,1,2,1,29,6,124,1,1,4,1
201401BS70026,2,8,0,9,0,6,0,0,0,0,3,1,2,1,44,7,2148,2,6,4,1
201401BS70027,1,9,0,7,0,5,0,0,0,0,4,1,6,1,30,6,1896,2,12,6,1
201401BS70027,2,1,0,18,4,8,0,0,0,0,3,1,6,1,-1,-1,-1,-1,-1,2,1
201401BS70028,1,3,0,5,0,2,0,0,0,0,1,1,1,1,24,5,125,1,1,1,1
201401BS70028,2,9,0,18,0,1,0,0,0,0,1,1,6,2,25,5,1968,2,1,7,1
201401BS70029,1,9,0,9,0,5,0,0,0,0,1,1,1,2,40,7,1797,8,1,-1,1
201401BS70029,2,4,0,15,0,8,0,0,0,0,1,1,2,2,29,6,493,1,7,-1,-1
201401BS70030,1,9,0,9,0,8,0,0,1,0,3,1,2,2,51,8,-1,-1,-1,8,1
201401BS70030,2,3,0,13,0,8,0,0,0,0,1,1,1,1,25,5,124,1,13,2,1
201401BS70032,1,11,0,9,0,8,0,0,0,0,4,1,1,1,61,9,4500,2,5,-1,-1
201401BS70033,1,9,0,18,0,8,0,0,0,0,2,1,6,1,38,7,1497,8,6,6,1
201401BS70033,2,9,0,18,0,8,0,0,0,0,1,1,2,1,36,7,2362,1,10,5,1
201401BS70033,3,19,0,18,0,8,0,0,0,0,4,2,6,1,38,7,-1,-1,-1,-1,-1
201401BS70034,1,9,0,18,0,1,0,0,0,0,1,1,1,1,43,7,1598,1,2,-1,-1
201401BS70035,1,1,0,18,0,8,0,0,0,0,4,1,6,1,25,5,-1,-1,-1,3,1
201401BS70035,2,9,0,7,0,8,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1
201401BS70036,1,3,0,14,0,8,0,0,0,0,3,1,2,1,49,8,125,1,7,9,2
201401BS70036,2,9,0,9,0,8,0,0,0,0,1,1,2,1,54,8,2967,2,2,10,1
201401BS70039,1,9,0,18,0,1,0,0,0,0,4,1,1,1,36,7,-1,-1,-1,9,1
201401BS70040,1,20,0,18,0,0,0,0,0,0,1,1,1,1,32,6,3920,2,13,3,1
201401BS70041,1,9,0,18,0,8,0,0,0,0,4,1,1,2,29,6,1598,1,4,3,1
201401BS70041,2,9,0,5,0,8,0,0,0,0,1,1,6,1,-1,-1,1896,2,6,-1,-1
201401BS70042,1,9,0,2,0,0,0,0,0,0,3,1,6,2,33,6,1968,2,6,5,1
201401BS70042,2,9,0,18,0,0,0,8,0,0,4,1,6,3,-1,-1,3498,1,6,-1,-1
201401BS70043,1,11,0,5,0,1,0,0,0,0,0,1,1,1,31,6,4500,2,2,4,1
201401BS70045,1,9,0,4,0,1,0,0,0,0,1,1,6,1,38,7,1990,1,23,6,1
201401BS70045,2,1,0,18,0,1,0,0,0,0,3,1,6,1,-1,-1,-1,-1,-1,-1,-1
201401BS70046,1,3,0,18,0,0,0,0,0,0,4,1,6,2,48,8,124,1,5,6,1
201401BS70046,2,9,0,11,0,0,0,0,0,0,0,1,1,2,44,7,2000,2,5,7,2
201401BS70047,1,5,0,18,0,1,0,0,0,0,4,1,1,1,38,7,670,1,2,1,1
201401BS70048,1,9,0,9,0,8,0,0,0,0,3,1,6,1,46,8,1995,2,1,8,1
201401BS70048,2,3,0,13,0,8,0,0,0,0,1,1,6,1,25,5,124,1,13,4,1
201401BS70049,1,20,0,9,0,8,0,0,0,0,4,1,1,1,56,9,4461,2,5,4,1
201401BS70049,2,3,0,15,0,8,0,0,0,0,1,1,1,1,24,5,-1,-1,-1,4,1
201401BS70050,1,9,0,18,0,8,0,0,0,0,1,1,6,1,25,5,1598,1,8,4,1
201401BS70050,2,9,0,9,0,8,0,0,0,0,1,1,6,1,71,10,-1,-1,-1,3,1
201401BS70051,1,9,0,9,0,8,0,7,0,0,1,1,6,2,43,7,2319,1,12,6,1
201401BS70052,1,9,0,6,0,1,0,0,0,0,3,1,1,1,31,6,1248,2,8,-1,-1
201401BS70052,2,3,0,14,0,1,0,0,0,0,1,1,6,1,49,8,124,1,9,10,1
201401BS70054,1,9,0,18,0,8,0,0,0,0,4,1,1,1,37,7,-1,-1,-1,-1,-1
201401BS70054,2,1,0,18,0,8,0,0,0,0,1,1,6,1,32,6,-1,-1,-1,5,1
201401BS70055,1,11,0,5,0,8,0,0,0,0,3,1,1,1,41,7,4500,2,5,2,1
201401BS70055,2,19,0,5,0,8,0,0,0,0,4,1,1,1,33,6,2143,2,1,2,1
201401BS70056,1,9,0,4,0,2,0,0,0,0,4,1,6,2,34,6,1198,1,8,-1,-1
201401BS70058,1,9,0,9,0,8,0,0,0,0,0,1,6,2,48,8,3600,1,6,7,1
201401BS70058,2,1,0,18,0,8,0,0,0,0,0,1,6,2,31,6,-1,-1,-1,2,1
201401BS70059,1,3,0,14,0,8,0,0,0,0,1,1,1,1,26,6,125,1,7,7,1
201401BS70059,2,9,0,9,0,8,0,0,0,0,3,1,6,2,52,8,1390,1,1,2,1
201401BS70060,1,9,0,3,0,1,0,0,0,0,2,1,6,1,42,7,1390,1,10,4,1
201401BS70060,2,9,0,5,0,1,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1
201401BS70063,1,19,0,18,0,1,0,0,0,0,4,1,6,1,-1,-1,1997,1,4,4,1
201401BS70065,1,9,0,7,0,0,0,0,0,0,4,1,6,1,48,8,1388,1,11,-1,-1
201401BS70065,2,1,0,15,0,0,0,0,0,0,3,1,6,1,32,6,-1,-1,-1,-1,-1
201401BS70066,1,9,0,9,0,8,0,0,0,0,3,1,1,1,34,6,-1,-1,-1,3,1
201401BS70066,2,3,0,13,0,8,0,0,0,0,1,1,6,1,27,6,-1,-1,-1,2,1
