Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
2017010001708,1,9,0,18,0,0,0,0,0,0,1,1,6,1,24,5,1997,2,1,-1,-1,-1
2017010001708,2,2,0,18,0,0,1,0,0,0,2,1,6,1,19,4,-1,-1,-1,-1,-1,-1
2017010009342,1,9,0,18,0,1,0,0,0,0,2,1,6,1,33,6,1797,8,8,9,1,9
2017010009342,2,9,0,18,0,1,1,0,0,0,1,1,6,1,40,7,2204,2,12,2,1,2
2017010009344,1,9,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2017010009344,2,9,0,18,0,2,0,0,0,0,1,1,6,1,35,6,1896,2,9,-1,-1,-1
2017010009344,3,9,0,18,0,2,0,0,0,0,1,1,6,2,31,6,1299,1,14,5,1,5
2017010009348,1,9,0,18,0,4,0,9,0,0,1,1,6,2,37,7,1399,1,9,2,1,2
2017010009348,2,9,0,9,0,3,0,0,0,0,3,1,6,2,29,6,1797,8,6,4,1,4
2017010009350,1,9,0,18,0,2,0,0,0,0,3,1,6,1,78,11,1988,1,14,4,1,4
2017010009351,1,9,0,4,0,0,0,0,0,0,0,1,6,1,19,4,1364,1,13,3,1,3
2017010009351,2,3,0,4,0,0,1,10,1,0,0,1,6,1,14,3,125,1,8,9,1,9
2017010009353,1,9,0,5,0,8,0,0,0,0,3,1,6,2,58,9,1587,1,13,2,1,2
2017010009353,2,9,0,18,0,8,0,0,0,0,1,1,6,1,27,6,1797,8,5,3,1,3
